GeneIDs	lcountsRep1	lcountsRep2	lcountsRep3	lcountsRep4	lcountsRep5	lcountsRep6	mean
NM_001014923	0	0	0	0	0	0	0
NM_001014924	2	2	3	1	3	1	2
NM_001014925	0	0	0	0	0	0	0
NM_001014926	0	0	0	0	0	0	0
NM_001014927	22	28	22	16	23	30	23.5
NM_001014928	1387	1454	1415	1422	1386	1362	1404.333333
NM_001014929	10	9	13	6	13	8	9.833333333
NM_001014930	12	10	15	9	10	11	11.16666667
NM_001014932	23	25	26	25	20	22	23.5
NM_001014933	5	5	4	5	2	4	4.166666667
NM_001014934	1	0	0	1	0	1	0.5
NM_001014935	9	11	8	8	11	6	8.833333333
NM_001014936	494	526	528	481	478	487	499
NM_001014937	19	22	15	23	18	16	18.83333333
NM_001014939	6	6	8	10	7	12	8.166666667
NM_001014940	0	0	0	0	0	0	0
NM_001014941	91	71	94	111	96	94	92.83333333
NM_001014943	6	4	6	8	6	5	5.833333333
NM_001014944	10	9	12	6	3	10	8.333333333
NM_001014945	22	18	15	23	21	24	20.5
NM_001014946	13	11	11	7	9	17	11.33333333
NM_001014947	217	199	199	232	204	213	210.6666667
NM_001014948	33	31	32	36	33	31	32.66666667
NM_001014949	0	0	0	0	0	0	0
NM_001014950	16	18	14	16	13	12	14.83333333
NM_001014951	21	20	13	12	33	24	20.5
NM_001014952	1	0	0	1	1	2	0.833333333
NM_001014953	2	1	1	0	3	0	1.166666667
NM_001014954	25	16	17	26	32	28	24
NM_001014955	16	18	16	15	17	14	16
NM_001014956	0	0	0	0	0	0	0
NM_001014957	6	2	5	6	6	3	4.666666667
NM_001014959	1	4	2	1	0	0	1.333333333
NM_001014960	38	35	45	31	37	46	38.66666667
NM_001014961	4	6	1	2	3	8	4
NM_001014962	5	6	6	5	4	4	5
NM_001014963	15	21	13	13	19	20	16.83333333
NM_001014964	17	12	14	17	21	17	16.33333333
NM_001014965	5	3	7	3	12	3	5.5
NM_001014966	17	17	18	23	19	14	18
NM_001014967	8	7	10	7	5	10	7.833333333
NM_001014982	0	0	0	0	0	0	0
NM_001015512	288	273	257	247	280	295	273.3333333
NM_001015513	5	7	2	6	6	3	4.833333333
NM_001015514	14	15	12	6	13	21	13.5
NM_001015515	23	29	19	17	32	20	23.33333333
NM_001015516	2	2	1	2	4	1	2
NM_001015517	0	0	0	0	0	0	0
NM_001015518	1	2	2	5	2	1	2.166666667
NM_001015519	1	0	1	0	0	0	0.333333333
NM_001015520	1	2	1	1	0	4	1.5
NM_001015521	1	1	1	2	0	2	1.166666667
NM_001015522	8	7	4	6	9	7	6.833333333
NM_001015524	8	7	9	11	10	3	8
NM_001015525	7	7	9	10	10	6	8.166666667
NM_001015526	4	6	5	3	3	3	4
NM_001015527	23	26	24	26	25	20	24
NM_001015528	1	1	3	1	0	0	1
NM_001015529	7	4	6	5	8	4	5.666666667
NM_001015531	607	629	645	644	583	561	611.5
NM_001015532	4	8	3	4	2	8	4.833333333
NM_001015533	54	57	55	58	57	56	56.16666667
NM_001015534	4	0	4	5	3	3	3.166666667
NM_001015535	2	0	1	1	0	2	1
NM_001015536	4	4	2	3	5	2	3.333333333
NM_001015537	1	1	2	0	0	1	0.833333333
NM_001015538	10	8	16	9	6	7	9.333333333
NM_001015539	16	15	15	13	18	11	14.66666667
NM_001015540	11	9	12	12	6	8	9.666666667
NM_001015543	533	535	533	554	522	535	535.3333333
NM_001015544	0	0	0	0	0	0	0
NM_001015545	0	0	0	0	0	0	0
NM_001015547	0	0	0	0	0	0	0
NM_001015549	0	0	0	0	0	0	0
NM_001015550	6	7	6	6	6	5	6
NM_001015551	3	0	3	3	6	4	3.166666667
NM_001015553	2	1	3	2	4	1	2.166666667
NM_001015554	8	5	8	13	4	5	7.166666667
NM_001015555	71	72	72	80	70	61	71
NM_001015556	505	514	519	531	495	523	514.5
NM_001015558	17	28	12	13	21	13	17.33333333
NM_001015559	0	0	0	0	0	0	0
NM_001015560	2	3	1	3	1	1	1.833333333
NM_001015561	5	3	5	8	3	8	5.333333333
NM_001015562	25	24	25	23	17	24	23
NM_001015563	2	2	4	4	1	0	2.166666667
NM_001015564	7	5	7	8	6	5	6.333333333
NM_001015565	131	124	123	132	122	141	128.8333333
NM_001015566	20	24	18	20	27	17	21
NM_001015568	7	3	8	7	6	9	6.666666667
NM_001015569	32	43	37	37	40	25	35.66666667
NM_001015570	4	3	2	6	4	2	3.5
NM_001015571	12	8	10	10	15	9	10.66666667
NM_001015572	149	163	129	164	171	149	154.1666667
NM_001015573	24	15	23	23	26	21	22
NM_001015574	0	0	0	0	0	0	0
NM_001015575	5	6	6	3	5	4	4.833333333
NM_001015576	0	0	0	0	0	0	0
NM_001015577	3	3	2	2	3	4	2.833333333
NM_001015578	3	2	1	3	4	5	3
NM_001015579	12	16	11	11	8	14	12
NM_001015581	0	0	0	0	0	0	0
NM_001015582	2	4	5	0	0	2	2.166666667
NM_001015584	3	2	3	2	1	6	2.833333333
NM_001015585	15	14	18	15	11	10	13.83333333
NM_001015586	97	97	85	95	122	98	99
NM_001015587	20	25	18	25	24	13	20.83333333
NM_001015588	4	4	7	7	6	5	5.5
NM_001015589	32	28	31	34	28	48	33.5
NM_001015590	3	3	3	4	4	3	3.333333333
NM_001015591	1	2	0	0	0	0	0.5
NM_001015592	101	95	103	86	99	107	98.5
NM_001015593	8	7	11	6	2	11	7.5
NM_001015594	12	9	14	10	11	14	11.66666667
NM_001015595	0	0	0	0	0	0	0
NM_001015596	24	36	29	24	26	18	26.16666667
NM_001015597	11	6	11	10	14	8	10
NM_001015599	1	1	1	1	0	1	0.833333333
NM_001015600	722	717	732	723	775	724	732.1666667
NM_001015601	0	0	0	0	0	0	0
NM_001015603	4	5	3	7	3	9	5.166666667
NM_001015604	0	0	0	0	0	0	0
NM_001015605	0	0	0	0	0	0	0
NM_001015606	8	10	9	11	11	8	9.5
NM_001015608	0	0	0	0	0	0	0
NM_001015609	4	6	5	2	4	3	4
NM_001015610	0	0	0	0	0	0	0
NM_001015611	0	0	0	0	0	0	0
NM_001015612	0	0	0	0	0	0	0
NM_001015613	12	16	12	10	11	11	12
NM_001015614	1	2	1	2	3	0	1.5
NM_001015615	2	5	3	0	1	1	2
NM_001015616	1	0	0	1	3	0	0.833333333
NM_001015619	6	6	3	8	5	7	5.833333333
NM_001015620	2	3	2	2	3	1	2.166666667
NM_001015621	73	77	62	76	94	55	72.83333333
NM_001015623	4	4	3	3	3	5	3.666666667
NM_001015624	3	0	6	7	5	3	4
NM_001015625	1	0	1	0	2	1	0.833333333
NM_001015626	12	12	8	7	6	12	9.5
NM_001015627	73	86	75	64	79	71	74.66666667
NM_001015628	100	87	117	97	94	95	98.33333333
NM_001015629	1	1	1	0	0	1	0.666666667
NM_001015630	13	14	13	15	10	10	12.5
NM_001015631	9	8	10	10	12	8	9.5
NM_001015633	24	25	23	32	23	29	26
NM_001015635	6	5	2	4	4	5	4.333333333
NM_001015637	17	17	14	24	22	11	17.5
NM_001015638	51	53	64	49	48	52	52.83333333
NM_001015639	24	18	18	28	26	22	22.66666667
NM_001015640	37	39	38	35	43	26	36.33333333
NM_001015641	6	8	3	5	4	4	5
NM_001015642	5	5	6	3	4	5	4.666666667
NM_001015643	11	7	9	11	6	10	9
NM_001015644	12	16	6	9	15	13	11.83333333
NM_001015645	4	5	8	6	3	3	4.833333333
NM_001015646	11	10	7	8	9	12	9.5
NM_001015647	551	567	599	554	566	537	562.3333333
NM_001015648	38	45	31	37	37	37	37.5
NM_001015649	0	0	0	0	0	0	0
NM_001015650	8	9	6	11	8	6	8
NM_001015651	3	6	7	2	7	5	5
NM_001015652	3	0	2	3	7	1	2.666666667
NM_001015653	40	43	35	38	38	39	38.83333333
NM_001015654	1	2	2	3	2	2	2
NM_001015655	177	162	211	168	183	161	177
NM_001015656	29	28	34	39	31	34	32.5
NM_001015657	33	37	29	39	31	24	32.16666667
NM_001015658	1	0	1	1	1	1	0.833333333
NM_001015659	21	22	17	23	19	21	20.5
NM_001015660	0	0	0	0	0	0	0
NM_001015661	26	29	26	25	25	22	25.5
NM_001015662	0	0	0	0	0	0	0
NM_001015663	54	70	49	61	58	64	59.33333333
NM_001015664	9	13	12	10	14	9	11.16666667
NM_001015665	1	1	1	1	0	0	0.666666667
NM_001015666	23	23	23	17	26	25	22.83333333
NM_001015667	8	10	4	8	6	6	7
NM_001015668	1	0	2	3	1	0	1.166666667
NM_001015669	0	0	0	0	0	0	0
NM_001015670	1	0	1	0	0	1	0.5
NM_001015671	7	9	8	7	12	6	8.166666667
NM_001015672	87	91	96	81	97	99	91.83333333
NM_001015673	0	0	0	0	0	0	0
NM_001015674	0	0	0	0	0	0	0
NM_001015675	6	9	9	9	7	8	8
NM_001015677	8	6	6	5	9	8	7
NM_001015678	0	0	0	0	0	0	0
NM_001015679	2	0	1	1	1	1	1
NM_001015680	1	1	0	2	1	0	0.833333333
NM_001015888	0	0	0	0	0	0	0
NM_001017428	33	24	44	35	31	27	32.33333333
NM_001017933	0	0	0	0	0	0	0
NM_001017934	33	31	33	38	37	25	32.83333333
NM_001017936	38	35	37	47	35	41	38.83333333
NM_001017937	9	7	13	6	7	13	9.166666667
NM_001017938	1	1	0	0	1	1	0.666666667
NM_001017939	10	8	13	10	8	15	10.66666667
NM_001017940	0	0	0	0	0	0	0
NM_001017941	3	8	3	5	3	3	4.166666667
NM_001017942	7	11	7	8	4	8	7.5
NM_001017943	1	1	2	0	1	4	1.5
NM_001017944	8	10	5	8	13	4	8
NM_001017945	3	3	1	0	6	3	2.666666667
NM_001017946	4	3	4	6	0	3	3.333333333
NM_001017947	1	0	2	1	2	1	1.166666667
NM_001017948	0	0	0	0	0	0	0
NM_001017950	32	38	43	35	45	27	36.66666667
NM_001017952	21	15	25	22	21	26	21.66666667
NM_001017953	6	3	10	10	7	1	6.166666667
NM_001017954	116	110	137	113	115	115	117.6666667
NM_001024469	680	704	664	706	667	666	681.1666667
NM_001024471	1179	1196	1107	1188	1207	1192	1178.166667
NM_001024472	1	0	1	1	1	0	0.666666667
NM_001024473	6	5	3	6	3	7	5
